"","Domain","Phylum","Class","Order","Family","Genus","Species"
"fc24038653453cfac1f0f5bbdda3a7131cb4d3ca7b634a1b7570daaa7be4289fca350e05fe77c34e3eb1fd23f1ab2f05_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"5dcdd6b356ccdced6b61076fb0f9287c2174913284fd15c994608a6fcd32f32677c41a9c973321f9aee3338e61133670_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"112bdbf4aa8eba5b15f95389f3998c4596450e6763c326a6231e696f2f51a45d3c20b19ee97c0fd69f7587821b8a158e_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"3c6d3a4a3fe3353f72f84373a1120ad909f33f53abc776c7ffe32878c39adc3b396c0642c84464e908c0a3db8cf8edde_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"cb9935b9ae0070888330aeeb793e28b037838749c7657889f71d61f1f530fd2d9e716669cea67d79098ce89b1511796e_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"2f943b5e21e67847a54a48f544c917f9e97758cbc95471b9c330a4edc25c064751dd6ddffc1e5a3ff09951787a923342_0c15fb453503b840afd67aa49f9c614d266a387a27f950d9e205557dd2d6e623e0842b8d057c43986fda5fea38cf00dd","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"cc02d9fa450287ba2d8ec1c6ae422695856fb052c64ee71eabbdbc0f8c191f59419b4e034541d9292d14fd0fe40f8ceb_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"2f943b5e21e67847a54a48f544c917f9e97758cbc95471b9c330a4edc25c064751dd6ddffc1e5a3ff09951787a923342_15a415b9be121b8745bb7b37b53315304bfc375a6565eb62d08f7c37c4f4e86e277b19ec6d224c243cccf043a5e959f5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured_bacterium"
"9ef77088b34689ebe2513755c581be663fac4a9abe275352380b3cc0a7b1c7f927edd24f1ec9ef6d404fc64a2d12e5b3_2922fb792f7ca75fb32f556af45ab704308643f440ff8dfa835bef9135b39d6411e24da6cb10e8910bddfeca7b56a42f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","",""
"0ae7b97b4a7e328395f4084a74dceb217ac32349b7ff8ab5e7ec79fdd0951c469f91b08cbb0d8b9b33a179b3de288d53_2922fb792f7ca75fb32f556af45ab704308643f440ff8dfa835bef9135b39d6411e24da6cb10e8910bddfeca7b56a42f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","",""
"d4edfd507477028a2a8c1ecacfbfdf3ab58c17d82fafcf6ee881c669c715f4394947157102dcd47233cce5c45ff6fcf6_4f7c2a18544b90c47c467c221a0ca4ac0519fa35588d4323209e8702b4b7793f1933645294f185e43508c8c28b4df154","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","",""
"5d2a05307664a8a392dc6c170e192aaa23d173214f4823df46416b4e61b3dbfc812675c83af7d5e33352df383b0a836e_85ea39b82db8abf8cec7cfa87e425df2105b0a34895240e43127babc59427b7906d2826fe4a662094eccbf38f93e2003","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","",""
"d4edfd507477028a2a8c1ecacfbfdf3ab58c17d82fafcf6ee881c669c715f4394947157102dcd47233cce5c45ff6fcf6_7731cf534606e8167584a325cdf861e263e1c5066c135a17642c6884086d8a8cde9faaccf1a4c796c50d219b821f6320","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","",""
"d4edfd507477028a2a8c1ecacfbfdf3ab58c17d82fafcf6ee881c669c715f4394947157102dcd47233cce5c45ff6fcf6_5d22a02e94f4bfa51396f8243364df1142403827d3003453e353ea520480eea83880d04b6c35b2d67ee7a594696efe53","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"34883a24638465d79be1a9aec3ebe378f3133d22e89408e88f91e479644b6ab464d99005664911645bcf1428b25aad52_8d4fc13904dd8397b5730df19c755c724196088341ece3a4783a0e5d59c2b8802b05ec5243c8fcc04a7c60dab29e228b","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","",""
"34883a24638465d79be1a9aec3ebe378f3133d22e89408e88f91e479644b6ab464d99005664911645bcf1428b25aad52_5d22a02e94f4bfa51396f8243364df1142403827d3003453e353ea520480eea83880d04b6c35b2d67ee7a594696efe53","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"299048f3f969c29af5572f7900173565a04b926d141e8d3e61f04530ade6f36f0d541ecbec172976ee05dca225cbfa24_ac65be1dd1b00708fa8ea696850f4ed29417c42f79403ccdf6f555b9722c037fe795e05a6a274c151f67afddff81ac00","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","",""
"d5ed04ed194bed0bffc4b4c951c3ca28093415c20ecebd1cec1e4769f6f3bb3494372cae14d466c3d68afddec1100df9_fc5bb528e2f70e169b0781730cd2b982485846cb4ac4edfdc817882a895f34a7b860026c4508c1893e141d80c1770c61","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",""
"28d405ec22b08a84063bf553f1ea3719609603b8f56a40552ec99c6510d44243ce56769f499987fde86b1a72aede80a3_cb9053f643bdc413375bbe659ea3ad0a02c4c734a23d0c6208e96ac677b9bf987c6687033c7283389e2006d91ab50762","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"28d405ec22b08a84063bf553f1ea3719609603b8f56a40552ec99c6510d44243ce56769f499987fde86b1a72aede80a3_08f53ff77987bb2a6eccdbe0c0a3091f14315f9c8c33e67083ae75b22adccf45282634dae7d41de7aa61cd0edd654685","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"5fe17efbcc21320edda7a7542805cb1fdaf167510bb68990473acc3e09ebaf933d9354f60aef7157dad3745a64acf9a2_e80e01d7e1ed5fa6375496f4d290d62a32e0d4ccdb5051239617e07f2c503e16bce838c80e826458ff287f819b248724","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"5fe17efbcc21320edda7a7542805cb1fdaf167510bb68990473acc3e09ebaf933d9354f60aef7157dad3745a64acf9a2_08f53ff77987bb2a6eccdbe0c0a3091f14315f9c8c33e67083ae75b22adccf45282634dae7d41de7aa61cd0edd654685","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"76abeafa7207bd4b2ee7c85b73465caffa5066c32f1773b277b7f12fd8283245b55117322fd0ce1d508559c8e892e858_08f53ff77987bb2a6eccdbe0c0a3091f14315f9c8c33e67083ae75b22adccf45282634dae7d41de7aa61cd0edd654685","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",""
"3b5da5a122d23c8f45fff6f7ea0bfdd993466ebd5efc2c54ecb1a7cc1840fb64b14a1a51433058d3f9da3bceec90445d_db3e3033447aae59ae250cbd14cd71812c113d7456a2cb7e2f8fd5f4ead28c50c5457adf0e52d7568a7bf71b59eefff2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",""
